Description,Short Code,ID,Parent ID
Introduction to Materials Science and Engineering,Module 1,1,
Understand the role and importance of materials in engineering.,L1.1,1.1,1
"Identify the different classes of materials (metals, ceramics, polymers, composites). (Remember)",L1.1.1,1.1.1,1.1
Explain the historical development of materials science and its impact on technology. (Understand),L1.1.2,1.1.2,1.1
Understand basic principles of materials selection and design. (Understand),L1.1.3,1.1.3,1.1
Atomic Structure and Bonding,Module 2,2,
Understand atomic structure and bonding in materials.,L2.1,2.1,2
Describe atomic structure and the periodic table. (Remember),L2.1.1,2.1.1,2.1
"Explain different types of atomic bonding (ionic, covalent, metallic, van der Waals). (Understand)",L2.1.2,2.1.2,2.1
Relate atomic bonding to material properties. (Analyze),L2.1.3,2.1.3,2.1
Apply atomic structure knowledge to select appropriate materials for specific applications. (Apply),L2.1.4,2.1.4,2.1
Crystal Structures and Defects,Module 3,3,
Understand crystal structures and defects in materials.,L3.1,3.1,3
"Identify common crystal structures (BCC, FCC, HCP). (Remember)",L3.1.1,3.1.1,3.1
Describe crystallographic directions and planes. (Understand),L3.1.2,3.1.2,3.1
"Explain the role of defects in materials (vacancies, interstitials, dislocations). (Understand)",L3.1.3,3.1.3,3.1
Relate crystal structures and defects to material properties and applications. (Analyze),L3.1.4,3.1.4,3.1
Material Properties,Module 4,4,
Understand the properties of materials.,L4.1,4.1,4
"Define mechanical properties such as stress, strain, Young's modulus, hardness, toughness, and ductility. (Remember)",L4.1.1,4.1.1,4.1
Explain thermal properties like thermal conductivity and thermal expansion. (Understand),L4.1.2,4.1.2,4.1
Describe electrical properties including electrical conductivity and resistivity. (Understand),L4.1.3,4.1.3,4.1
"Explain optical properties such as reflectivity, refractivity, and absorptivity. (Understand)",L4.1.4,4.1.4,4.1
Relate properties to material selection in engineering applications. (Analyze),L4.1.5,4.1.5,4.1
Use material selection charts and tools to choose materials based on properties. (Apply),L4.1.6,4.1.6,4.1
Metals and Alloys,Module 5,5,
Understand the properties and applications of metals and alloys.,L5.1,5.1,5
Describe the microstructure of metals and alloys. (Understand),L5.1.1,5.1.1,5.1
Explain phase diagrams and phase transformations in alloys. (Understand),L5.1.2,5.1.2,5.1
Relate the properties of metals and alloys to their applications. (Analyze),L5.1.3,5.1.3,5.1
Apply the Ashby approach to the selection of metals and alloys for engineering applications. (Apply),L5.1.4,5.1.4,5.1
Polymers,Module 6,6,
Understand the properties and applications of polymers.,L6.1,6.1,6
Describe the structure and properties of polymers. (Understand),L6.1.1,6.1.1,6.1
Explain the processing and applications of polymers. (Understand),L6.1.2,6.1.2,6.1
Relate the properties of polymers to their applications. (Analyze),L6.1.3,6.1.3,6.1
Integrate material selection tools to choose appropriate polymers for specific design needs. (Apply),L6.1.4,6.1.4,6.1
Composites,Module 7,7,
Understand the properties and applications of composites.,L7.1,7.1,7
"Describe the structure and properties of composite materials, including polymer matrix composites and metal matrix composites. (Understand)",L7.1.1,7.1.1,7.1
Explain the processing and applications of composites. (Understand),L7.1.2,7.1.2,7.1
Relate the properties of composites to their applications. (Analyze),L7.1.3,7.1.3,7.1
Use material selection charts and tools to choose appropriate composites for specific applications. (Apply),L7.1.4,7.1.4,7.1
Manufacturing and Processing,Module 8,8,
Understand the manufacturing and processing of materials.,L8.1,8.1,8
"Describe common materials processing techniques (casting, forging, machining). (Understand)",L8.1.1,8.1.1,8.1
Explain the impact of processing on material properties. (Understand),L8.1.2,8.1.2,8.1
Relate manufacturing processes to material selection. (Analyze),L8.1.3,8.1.3,8.1
Use design principles to optimize materials processing for specific engineering applications. (Create),L8.1.4,8.1.4,8.1
Damage and Failure Analysis,Module 9,9,
Understand the mechanisms of material degradation and failure.,L9.1,9.1,9
Identify types of corrosion and their prevention. (Remember),L9.1.1,9.1.1,9.1
Explain fatigue and fracture mechanics. (Understand),L9.1.2,9.1.2,9.1
Discuss environmental effects on material properties. (Analyze),L9.1.3,9.1.3,9.1
Integrate failure analysis into materials selection and design to prevent degradation. (Create),L9.1.4,9.1.4,9.1
Emerging Technologies,Module 10,10,
Understand emerging technologies in materials science.,L10.1,10.1,10
"Identify recent advancements in nanomaterials, biomaterials, and smart materials. (Remember)",L10.1.1,10.1.1,10.1
Explain the potential applications and impact of emerging materials technologies. (Understand),L10.1.2,10.1.2,10.1
Analyze case studies of emerging materials technologies in real-world applications. (Analyze),L10.1.3,10.1.3,10.1
Evaluate emerging materials for potential use in innovative engineering designs. (Evaluate),L10.1.4,10.1.4,10.1
